"Receipt","Academic Director - Life Sciences","Academic Director - Humanities","Academic Director - Computer Science","Academic Director - Mathematical and Physical Sciences","Academic Director - Rotman Commerce","Academic Director - Social Sciences","Division I Director, Woodsworth College","Division I Director, University College","Division I Director, Victoria University in the University of Toronto","President","Vice-President, Campus Life","Vice-President, Equity","Vice-President, External","Vice-President, Internal and Services","Vice-President, Professional Faculties","Vice-President, University Affairs","Director - Architecture","Director - Dentistry","Director - Engineering and Applied Sciences","Director - Medicine","Director, Nursing","Director - Pharmacy","Director - Professional Faculty At-Large","Director - Theology","Referendum Question 1","Referendum Question 2"
"GW2N","","","","","","Abstain","Abstain","","","Abstain","Abstain","Abstain","Lucinda Jing Qu","Carina Zhang","","Abstain","","","","","","","","","Yes","Yes"
"GW5P","","","","","","Yes","","","Garnet Lollar, Stephanie Spagnuolo","Madina Siddiqui, Jasmine Wong Denike","Abstain","Malkeet Sandhu, Farah Noori","Abstain","Abstain","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Abstain"
"GW83","","","","","","Abstain","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Yes"
"GWKV","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","No","No"
"GWTR","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","",""
"GX2R","","","","","Yes","","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"GX62","Yes","","","","","Abstain","","","","Abstain","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"GX6B","","","","Yes","","No","Abstain","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"GX7S","","","","","Abstain","","","","","Jasmine Wong Denike","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Abstain"
"GX7W","Yes","","","","","","Ahmad Ilyas, Christina Badiola, Ifrah Farah, Sebastian Salomon","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Abstain"
"GX8M","","","Abstain","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"GXMK","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Abstain","No"
"GXQC","","","Yes","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"GXVX","","","","","Yes","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","Yes"
"GXXQ","","Yes","","","","Yes","Sebastian Salomon, Ahmad Ilyas, Christina Badiola, Ifrah Farah","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","No"
"GY8P","Abstain","Abstain","","","","","","","Abstain","Madina Siddiqui, Jasmine Wong Denike","Abstain","Malkeet Sandhu, Farah Noori","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"GYBN","","","","Abstain","","","Abstain","","","Madina Siddiqui","Abstain","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","Abstain"
"GYBT","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Charlotte Mengxi Shen, Ryan Gomes","Andy Edem, Shawn Williams","","","Abstain","","","","Abstain","","Abstain","Abstain"
"GYHK","","","","","Yes","","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"GYQT","","","","","","Yes","","Kshemani Constantinescu, Chimwemwe Alao, Ryan Hume, Mira El Hussein","","Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Abstain"
"GYT3","","","","","","Abstain","","Mira El Hussein, Ryan Hume, Kshemani Constantinescu, Chimwemwe Alao","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"GYY9","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Danja Papajani, Addy Bhatia, Andrew Sweeny","","","","Faizan Akbani, Sophia Wang","","Yes","Yes"
"GZBC","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Sophia Wang, Faizan Akbani","","No","Abstain"
"GZC3","","Yes","","","","","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"GZYB","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"H2B4","","","","Yes","","Yes","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"H2B5","","","","","","Yes","Abstain","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","Abstain"
"H2HG","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"H2MW","","","","Abstain","Yes","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"H2NH","","","","Abstain","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh","Abstain","Andre Fast","Abstain","","Andy Edem","","","","","","","","","Yes","Yes"
"H2PF","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Andy Edem","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Sophia Wang","","No","No"
"H2SK","","","","","","Abstain","","Abstain","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Yes"
"H34S","","","","","","","","","","Jasmine Wong Denike","Alessia Rodriguez","Abstain","Abstain","Mathias Memmel","","Andy Edem","","","","","","","","","Abstain","Abstain"
"H36D","","Abstain","Yes","","","","Abstain","","","Abstain","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"H372","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","",""
"H3BT","","","","","","","","","","Madina Siddiqui","Alessia Rodriguez","Malkeet Sandhu","Abstain","Abstain","Abstain","Abstain","","","Abstain","","","","Faizan Akbani","","Abstain","Abstain"
"H3DY","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"H3KG","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Andy Edem, Shawn Williams","","","Abstain","","","","Abstain","","Yes","Yes"
"H3TS","","Yes","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Yes"
"H3VH","Yes","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"H43Z","Yes","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"H48P","","Abstain","Yes","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Abstain","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"H48R","Yes","","","","","","","Abstain","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"H578","","","Yes","","","","","Abstain","","Abstain","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Yes","Yes"
"H5C7","","Abstain","","","","Abstain","","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Andy Edem","","","","","","","","","Abstain","Abstain"
"H5DF","Yes","Yes","","","","","","","Abstain","Abstain","Abstain","Abstain","Andre Fast","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"H5FC","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","",""
"H5PD","","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Abstain"
"H5PW","","","","","","","","","","Abstain","Abstain","Farah Noori","Abstain","Abstain","","Abstain","","","","","","","","","",""
"H5VT","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Andy Edem, Shawn Williams","","","Addy Bhatia, Andrew Sweeny, Danja Papajani","","","","Sophia Wang, Faizan Akbani","","Yes","No"
"H6DC","","","Abstain","","","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"H6KS","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"H6VX","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
"H75R","","","","Abstain","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","No"
"H796","","","","","","Abstain","","","","Abstain","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"H7FX","","","","","","Yes","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","No"
"H7J3","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Ryan Gomes","Shawn Williams","","","Addy Bhatia, Danja Papajani, Andrew Sweeny","","","","Sophia Wang","","Abstain","Abstain"
"H7KW","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"H7NF","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Marienka Bishop-Kovac","","","","","","Abstain","","No","No"
"H7PY","Abstain","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","No"
"H84D","","Yes","","","","","","","Garnet Lollar, Stephanie Spagnuolo","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Abstain","","Abstain","","","","","","","","","Yes","No"
"H86T","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","Charlotte Mengxi Shen, Ryan Gomes","Abstain","","","","","","Yes","Sophia Wang, Faizan Akbani","","Yes","Yes"
"H8N5","","","Abstain","","","","","Abstain","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","No","No"
"H8W5","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
"H943","","","","","","Abstain","Abstain","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"H98G","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","Ryan Gomes, Charlotte Mengxi Shen","Andy Edem, Shawn Williams","","","Addy Bhatia, Danja Papajani, Andrew Sweeny","","","","Sophia Wang, Faizan Akbani","","No","No"
"H99G","","","Yes","Yes","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Abstain","","","","","","","","","No","No"
"H9GP","","","","","","Yes","","Mira El Hussein, Ryan Hume, Kshemani Constantinescu, Chimwemwe Alao","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"H9HQ","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","",""
"H9XQ","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Danja Papajani, Addy Bhatia, Andrew Sweeny","","","","Faizan Akbani, Sophia Wang","","No","No"
"HB4P","No","Yes","","","","","","","Garnet Lollar","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"HB9J","","Yes","","","","Abstain","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"HB9Y","Yes","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Abstain"
"HBG7","Yes","","","Yes","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","No"
"HBQT","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Yes","No"
"HBZ9","","Yes","","","","Yes","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Abstain","","","","","","","","","Yes","Yes"
"HC2R","Yes","","","","","","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Abstain"
"HCJ2","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Abstain","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Charlotte Mengxi Shen, Ryan Gomes","Shawn Williams, Andy Edem","Marienka Bishop-Kovac, Veronika Potylitsina","","","","","","Sophia Wang, Faizan Akbani","","Abstain","No"
"HCM2","","","","No","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Abstain","Andre Fast, Lucinda Jing Qu","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"HCTP","Abstain","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Farah Noori, Malkeet Sandhu","Abstain","Abstain","","Abstain","","","","","","","","","No","No"
